collegeID,Institute Name,Address,Contact Info,email,College Type,locality_type,description,year of establishment,landarea,placement avg,placement median,phone number,fax number,website,state,nirfRanking,gender_ratio
67d46f0c7ee10606e96d054a,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh 221005,Phone: 91-5422367042Fax: 91-542-2368428Website: www.iitbhu.ac.in,doaa@iitbhu.ac.in,public,urban,"""## Indian Institute of Technology (BHU) Varanasi

### Overview

The Indian Institute of Technology (Banaras Hindu University) Varanasi (IIT-BHU) is a public technical university located in Varanasi, Uttar Pradesh, India. Founded in 1919 as the Banaras Engineering College, it became the Institute of Technology, Banaras Hindu University in 1968. It was later designated an Indian Institute of Technology in 2012. IIT (BHU) Varanasi has 16 departments, 3 inter-disciplinary schools and a Humanities & Social Sciences Section. It is located inside the Banaras Hindu University Campus. IIT (BHU) Varanasi has formerly been known as the Banaras Engineering College (BENCO), the College of Mining and Metallurgy (MINMET), the College of Technology (TECHNO) and the Institute of Technology, Banaras Hindu University (IT-BHU). Its establishment is intimately linked with that of the Banaras Hindu University (BHU). The first convocation ceremony at BHU was held on 2 December 1920. BHU has the credit of first starting degree classes in Mechanical Engineering, Electrical Engineering, Metallurgical Engineering, Mining Engineering and Pharmaceutics, thanks to the foresight of its founder, Pt. Madan Mohan Malaviya. The Department of Geology was started under BENCO in 1920. The Geology Department introduced courses in Mining and Metallurgy. The Department of Industrial Chemistry was started in July 1921. In 1923, Mining and Metallurgy were established as separate departments and in 1944, they were raised to the status of a college forming the College of Mining and Metallurgy (MINMET). In 1968, BENCO, TECHNO and MINMET were merged and the Institute of Technology (IT-BHU) was established integrating the departments of Mechanical Engineering, Electrical Engineering, Civil and Municipal Engineering, Mining Engineering, Metallurgical Engineering, Chemical Engineering and Technology, Silicate Technology and Pharmaceutics.

### Additional Information

The Department of Silicate Technology subsequently became the Department of Ceramic Engineering. A Department of Electronics Engineering was also established. The departments of Applied Physics, Applied Mathematics and Applied Chemistry were established in 1985. The earlier system of regional admission based on merit lists was replaced in 1972 by admission through Indian Institute of Technology Joint Entrance Examination (IIT-JEE) for undergraduate courses and Graduate Aptitude Test in Engineering (GATE) for postgraduate courses.""",1948,481,66,7,915422367042,915422368428,www.iitbhu.ac.in,Uttar Pradesh,174,0.4092115481692076
67d46f0c7ee10606e96d054b,"Assam University, Silchar","Silchar - 788 011, Assam, India",Phone: 91-3842-270806Fax: 91-3842-270802Website: www.aus.ac.in,dasdebaprasad75@gmail.com,public,rural,"""## Assam University, Silchar

### Overview

Assam University is a central public university located at Silchar, Assam, India. It was founded in the year 1994 by the provisions of an act enacted by the Parliament of India. Former Air Chief Marshal Arup Raha is the Chancellor, the Governor of Assam is the Chief Rector and the President of India is acting as the Visitor of the university. The university has sixteen schools which offer Humanities, Languages, Environmental Sciences, Information Sciences, Life Sciences, Physical Sciences, Social Sciences, Law, Technology and Management Studies. There are 42 departments under these sixteen schools. The five districts under the jurisdiction of Assam University have 73 undergraduate colleges as of 31 March 2020. Assam University is an institutional signatory to the Global Universities Network for Innovation (GUNI), Barcelona and United Nations Global Compact (UNGC) for its commitment to educational social responsibilities. Assam University is the second Central University of Assam after Tezpur University. Both were established in 1994. The history of Assam University is the history of people's struggle in Barak Valley. It is one of the subsequent outcomes of the Bengali Language Movement in the southern part of Assam. The Shaheed Minar built near the front gate of the university commemorates the sacrifices of the martyrs during the historical language movement in 1961. The major teaching schools of the university along with the departments under them are: The main campus has an area of 600 acres (2.4 km2). The campus is situated 20 kilometres south of Silchar main city at Durgakuna, near Irongmara village. The university is located in a hilly area with greenery.

### Additional Information

For accommodation, there are five hostels for girls and four hostels for boys available on the campus. It has an area of 90 acres, about 9km from Diphu, Karbi Anglong district of Assam. The university provides bus service from the university campus to various places. Including bus services from Silchar and Hailakandi to the university campus. There is also private transportation like auto-rickshaws. Assam University was ranked 93rd in the university category by the National Institutional Ranking Framework (NIRF) of 2021.""",2005,807,31,7,913842270806,913842270802,www.aus.ac.in,Assam,198,0.7554863012987206
67d46f0c7ee10606e96d054c,"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur","School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya(A Central University), Bilaspur(Chhattisgarh)-495009.",Phone: 91-7752-260453Fax: 91-7752-260007Website: http://www.new.ggu.ac.in/,rmahule712@gmail.com,public,rural,"""## School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur

### Overview

Guru Ghasidas Vishwavidyalaya is a central university in Bilaspur, Chhattisgarh, India. It is one of Chhattisgarh's largest and oldest institutions of higher education. Established under Central Universities Act 2009, No. 25 of 2009. Formerly known as Guru Ghasidas University (GGU), established by an Act of the State Legislative Assembly, it was formally inaugurated on 16 June 1983. GGV is an active member of the Association of Indian Universities and Association of Commonwealth Universities. The National Assessment & Accreditation Council (NAAC) has accredited the university as 'A++'. The university is named after the Satnami Guru Ghasidas. Guru Ghasidas University campus spread over an area of 700 acres (2.8 km2), five kilometres from the main Bilaspur town. The Arpa river runs parallel to the university campus. The Central Library of Guru Ghasidas Vishwavidyalaya comprises more than 105,000 books, 3,950 back volumes of journals and 1,100 Ph.D. theses. The library also provides access to online databases, e-journals and e-books. This library has a well Wi-Fi system along with a sufficient number computers for free access. Along with Central library, departments of GGV have their separate Departmental libraries. The library has been recently named as Nalanda Central Library. The University Auditorium near the administrative block can accommodate about 800 people. GGV is a residential institution. There are six hostels at GGV, three for boys, namely Dr. B.R. Ambedkar Hostel, Swami Vivekananda Hostel and Shaheed Veer Narayan Hostel and three for girls namely Raj Mohini Devi Girls Hostel, Minimata Girls Hostel, Bilasa Devi Girls Hostel. Every hostel has a common room, a TV room, a reading room and an attached mess that serves vegetarian food. There is Internet Facility in Hostels, availed by MHRD.

### Additional Information

They have a good academic environment for students. Faculty members of university act as wardens for supervision of them. The University Health Centre, near the University Computer Centre, has one Medical Officer, supporting staff and visiting specialists from CIMS. The university has a sports complex with facilities for various indoor and outdoor games such as Badminton, Kabaddi, Volleyball, Basketball, Football, Cricket, and Athletics etc. The university also organizes inter-college and inter-University sports competitions and encourages students to participate in national and international events.""",1916,358,31,9,917752260453,917752260007,http://www.new.ggu.ac.in/,Chhattisgarh,291,0.013372595495001471
67d46f0d7ee10606e96d054d,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Department of Electronics & Communication, J.K. Institute of Applied Physics & Technology, Science Faculty, University of Allahabad, Allahabad (Prayagraj)- 211002, Uttar Pradesh, India",Phone: 91-532-2460068Fax: Website: www.jkinstitute.ac.in / www.allduniv.ac.in,admission.jkau@gmail.com,public,urban,"""## J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad

### Overview

J. K. Institute of Applied Physics and Technology is an engineering colleges in India. It is also known as the Department of Electronics and Communication. It’s located in the Muir College Campus (Science Faculty) of the University of Allahabad.[citation needed] Its foundation stone was laid by Jawaharlal Nehru on April 14, 1949, and was formally inaugurated by him on April 4, 1956. It was named after J.K. as the J. K. Trust contributed to the construction of the complete building structure. The department conducts courses in the fields of Electronics & Communication and Computer Science leading up to the degrees of the Bachelor of Technology, Master of Technology, and Master of Science. These courses have been designed to meet the current challenging demands of the nation. The Computer Science discipline was started in the year 1986 through the DRDO project on the ‘Man Power development in the area of computer Science’. The department offers B.Sc (CS), M.Sc. (Computer Science), and B.Tech. (Electronics and Communication Engineering), B.Tech. (Computer Science and Engineering ), M.Tech. (Electronic and Communication Engineering) M.Tech. (Computer Science and Engineering) and Ph.D. program in Electronics and Computer Science. Its foundation stone was laid by Jawaharlal Nehru, the first prime minister of India, on 14 April 1949 and it was formally inaugurated by him on 4 April 1956. J. K. Charitable Trust contributed to the construction of the complete building structure of the institute, hence the department's name. J. K. stands for Juggilal Kamlapat, so the full name is Juggilal Kamlapat Institute of Applied Physics and Technology. The department has a long history of collaboration with some of the country's top research institutes such as DRDO.

### Additional Information

The undergraduate course in Computer Science was started in the year 1982 and the postgraduate course in Computer Science was started in the year 1986. The Defense Research and Development Organization (DRDO) selected the institute as a center of Manpower development in the area of Computer Science through which the students were inducted as Scientist B in their organizations up to 1992. After 1992, M.Sc. The Computer Science program has been taken over as a UGC program. J. K.""",2008,711,80,91,915322460068,1076709707,www.jkinstitute.ac.in,Uttar Pradesh,284,0.61314042412617
67d46f0d7ee10606e96d054e,"Mizoram University, Aizawl","Mizoram University, Tanhril, Aizawl, Mizoram, P.O Box No. 190 Pin -796004",Phone: 91-0389-2330654Fax: 91-389-2330834Website: www.mzu.edu.in,dean.set@mzu.edu.in,public,rural,"""## Mizoram University, Aizawl

### Overview

Aizawl (English: /aɪˈzɔːl/, US: EYE-zahl, UK: EYE-zawl; Mizo: [ˈaɪ̯.ˈzɔːl] ⓘ), formerly known as Aijal, is the capital city and the most populous city of Mizoram, India. It is also the third largest city in northeast India. It is situated atop a series of ridges, with an average elevation of around 1,132 metres (3,714 feet) above sea level. In 2024, the city has an estimated population of 415,000 people. Having served as the capital of the British Lushai Hills from 1898 to 1947, colonial structures are prevalent in the city centre including but not limited to the Aijal Club, Raj Bhavan, the Red School,[a] and the Office of the Deputy Commissioner. As the seat of the Government of Mizoram, Aizawl is home to the Assembly House. Additionally, Aizawl is part of the Smart Cities Mission, an initiative by the Ministry of Housing and Urban Affairs aimed at urban development and infrastructure enhancement. The word Aizawl is a combination of two Mizo words: ai meaning cardamom and zawl meaning flatland or plain. Therefore, Aizawl could roughly translate to the field of cardamom. This name may have historical significance or could refer to the characteristics of the area before urbanisation. Before the British, Aizawl was a village founded by Chief Lalsavunga around 1810. When the British found the site it had been abandoned. During his reign at Aizawl, Lalsavunga summoned the properties of the Zadeng chiefs as a ransom for Ngurpuilala, the son of their chief Lalchungnunga. Lalsavunga freed the Zadeng bawi and gave them better rights. He lived in Aizawl around 1810-1820. Situated a mere 14 kilometres from Sairang and accessible via flat-bottomed boats, it served as a strategic location, with the Li Bial stream for the British to establish their headquarters.

### Additional Information

In 1889, Officer Dally of the Assam Police, accompanied by 400 men, arrived in Aizawl village to assist Colonel Skinner's troops during a British military operation against the Mizo natives. Aizawl was subsequently chosen as the site for a fortified post on Dally's recommendation, leading Colonel Skinner to oversee its construction. The troops erected stockades and other essential structures, establishing a significant military presence in the area.""",2011,115,77,91,9103892330654,913892330834,www.mzu.edu.in,Mizoram,243,0.37970646194153057
67d46f0d7ee10606e96d054f,"School of Engineering, Tezpur University, Napaam, Tezpur","School of Engineering Tezpur University Napaam, Tezpur 784028, Assam",Phone: 09435471300Fax: 03712-267005Website: www.tezu.ernet.in,tucsab@tezu.ernet.in,public,rural,"""## School of Engineering, Tezpur University, Napaam, Tezpur

### Overview

Tezpur University is a Central University located in Tezpur in the North-Eastern state of Assam, India, established by an act of Parliament, in 1994. The establishment of Tezpur University is considered to be one of the outcomes of the Assam Accord, along with the establishment of Assam University and Indian Institute of Technology Guwahati. Tezpur University was established, by an Act of Parliament, in 1994. The then prime minister of India, P. V. Narasimha Rao, chaired the opening of the university. Initially, the university operated from the premises of the Darrang College, in Tezpur. For a while, it also operated from the Tezpur Law College premises. Land was acquired at Napaam, a suburb, which is about 15 km (9.3 mi) east of Tezpur, area totalling 262 acres (106 ha). A few months later, the premises of the university was shifted to the present permanent location. Kalaguru Bishnuprasad Rava (Rabha) donated an ancestral estate of 2500 bigha of land received from the British government in favour of the peasants. The present-day Tezpur University stands on the land donated by him. Recently, in 2013, the university acquired an additional plot of land, extending the current plot.[citation needed] The university campus is at Napaam about 15 km east of Tezpur, the headquarters of the Sonitpur district of Assam. Napaam is an urban area surrounded by people of diverse caste, religion and language. The Napaam campus is on 262 acres (1.06 km2) of land, bounded by pucca walls. Napaam is linked by a PWD road from the National Highway No. 37A at almost the midpoint between the Kalia-Bhomora bridge and Misson Chariali. Tezpur is linked by road and rail with the rest of the state and the country.

### Additional Information

There is a tri-weekly flight between Kolkata and Tezpur. There are provisions for visitors to stay in the university guest house. Students may choose to stay in any of the men's or women's hostels. The university is primarily a residential university. The university has eight men's hostels (listed in order of construction): There are nine women's hostels: There is also a married-scholars hostel, which is at presently serving as a makeshift accommodation for newly recruited faculty of the university.""",1919,737,65,74,9435471300,3712267005,www.tezu.ernet.in,Assam,200,0.7091373014805643
67d46f0d7ee10606e96d0550,University of Hyderabad,"University of Hyderabad Central University P.O, Prof C R Rao Road, Gachibowli, Hyderabad-500046",Phone: 04023132101Fax: Website: www.uohyd.ac.in,ce@uohyd.ac.in,public,urban,"""## University of Hyderabad

### Overview

The University of Hyderabad (IAST: Hydarābād visvavidyālayamu) is a public central research university located in Hyderabad, Telangana, India. Founded in 1974, this mostly residential campus has more than 5,000 students and 400 faculty, from several disciplines. The governor of the state of Telangana is ex-officio the chief rector of the university, while the President of India is the visitor to the university. The university was established along the lines of the Six-Point Formula of 1973. The first vice-chancellor of the university was Banaras Hindu University organic chemist Gurbaksh Singh, from 1974 to 1979. Shri B D Jatti was the first chancellor of the university. In January 2015, the University of Hyderabad received the Visitor's Award for the Best Central University in India, awarded by the President of India. The university is located in Gachibowli, on 2300-odd acres. The campus is rich in flora and fauna, home to over 734 flower plants, ten species of mammals, fifteen species of reptiles, and 220 species of birds. The university is recognized as an Institute of Eminence (IoE) by the University Grants Commission (UGC) through the UGC (Declaration of Government Institutions as Institutions of Eminence) Guidelines, 2017 for public institutions The university campus is on 2300-odd acres, and has a large area under forest cover, with two perennial and three seasonal lakes, and rock formations characteristic of the Deccan. It is home to 734 plants, 10 mammals, 15 reptiles and 220 birds species (at last count). Notable animals include spotted deer, hares, peacocks, porcupines and wild boar. The campus also has a protected megalithic site. A study, which ranged over three decades (1990–2010), reported that of the plants present on campus, 315 species were used in traditional Indian medicine.

### Additional Information

39 species of plants belonging to the group that faces the threat of extinction. These listings resulted from field studies done on campus by students and faculty members. The university has plans to preserve the area under forest cover and wetlands by creating a bio reserve. The university follows the semester calendar beginning in mid-July and ending in early-May. About 90% of the students are residential.""",1911,783,95,19,4023132101,5575420804,www.uohyd.ac.in,Telangana,70,0.14882006366491474
67d46f0d7ee10606e96d0551,"Jawaharlal Nehru University, Delhi","School of Engineering, Jawaharlal Nehru University, New Mehrauli Road, New Delhi-110067","Phone: 26738734,26732231,26704783Fax: Website: http://soe.jnu.ac.in/home",dean.se@mail.jnu.ac.in,public,urban,"""## Jawaharlal Nehru University, Delhi

### Overview

Jawaharlal Nehru University (JNU; ISO: Javāharalāla Neharū Viśvavidyālaya) is a public research university located in Delhi, India. It was established in 1969 and named after Jawaharlal Nehru, India's first Prime Minister. The university is known for leading faculties and research emphasis on social sciences and applied sciences. Jawaharlal Nehru University was established in 1969 by an act of parliament. It was named after Jawaharlal Nehru, India's first Prime Minister. G. Parthasarathy was the first vice-chancellor. Prof. Moonis Raza was the Founder Chairman and Rector. The bill for the establishment of Jawaharlal Nehru University was placed in the Rajya Sabha on 1 September 1965 by the then-Minister of Education, M. C. Chagla. During the discussion that followed, Bhushan Gupta, member of parliament, voiced the opinion that this should not be yet another university. New faculties should be created, including scientific socialism, and one thing that this university should ensure was to keep noble ideas in mind and provide accessibility to students from weaker sections of society. The JNU Bill was passed in Lok Sabha on 16 November 1966 and the JNU Act came into force on 22 April 1969. The Indian School of International Studies was merged with the Jawaharlal Nehru University in June 1970. Following the merger, the prefix Indian was dropped from the name of the School and it became the School of International Studies of the Jawaharlal Nehru University. The JNU offers education in the following languages: The President of India is the visitor of the university. The chancellor is the nominal head of the university and the vice-chancellor is the executive head of the university. They are both appointed by the visitor on the recommendations of the Executive Council.

### Additional Information

The Court, the Executive Council, the Academic Council and the Finance Committee are the administrative authorities of the university. The University Court is the supreme authority of the university and has the power to review the acts of the Executive Council and the Academic Council. The Executive Council is the highest executive body of the university. The Academic Council is the highest academic body of the university and is responsible for the maintenance of standards of instruction, education and examination within the university.""",1955,927,58,40,26738734,2374468941,http://soe.jnu.ac.in/home,Delhi,118,0.5600842393739445
67d46f0d7ee10606e96d0552,"Central University of Rajasthan, Rajasthan","N.H.8, Bandarsindari, Kishangarh, Dist. Ajmer 305817",Phone: 01463-238723Fax: 01463-238522Website: www.curaj.ac.in,dean.et@curaj.ac.in,public,rural,"""## Central University of Rajasthan, Rajasthan

### Overview

Kota (/ˈkoʊtə/ ⓘ), previously known as Kotah, is the third-largest city of the north-western Indian state of Rajasthan. It is located about 230 kilometres (143 mi) south of the state capital, Jaipur, on the banks of Chambal River. As of 2024, with a population of over 1.5 million, it is the third most populous city in Rajasthan, after Jaipur and Jodhpur. It serves as the administrative headquarters for Kota district and Kota division. It was founded as a walled city in the 14th century in the erstwhile Bundi state and became the capital of the princely state of Kota in 1625, following the separation of the Bundi and the Kota state. Kota is known for its coaching institutes for engineering and medical entrance exams, such as JEE and NEET. Each year, over 200,000 students move to Kota to prepare for these competitive exams, earning it the nickname Coaching Capital of India. In addition to several monuments, Kota is known for its palaces and gardens. The city was included among 98 Indian cities for Smart Cities Mission initiated by the Indian Prime Minister Narendra Modi in 2015 and was listed at 67th place after results of first round were released following which top 20 cities were further selected for funding in the immediate financial year. The history of the city dates back to the 12th century CE when Rao Deva, a Chauhan Rajput chieftain belonging to the Hada clan conquered the territory and founded Bundi and Hadoti. Later, in the early 17th century, during the reign of the Mughal Emperor Jahangir, the ruler of Bundi – Rao Ratan Singh, gave the smaller principality of Kota to his son, Madho Singh.

### Additional Information

Since then Kota became a hallmark of the Rajput gallantry and culture. Kota became an independent state in 1631 when Rao Madho Singh, the second son of Rao Ratan of [Bundi] was made the ruler, by the Mughal Emperor Jahangir. Soon Kota outgrew its parent state to become bigger in area, richer in revenue and more powerful. Maharao Bhim Singh played a pivotal role in Kota's history, having held a 'Mansab' of five thousand and being the first in his dynasty to have the title of Maharao.""",2024,523,69,28,1463238723,1463238522,www.curaj.ac.in,Rajasthan,214,0.9283985301322872
67d46f0d7ee10606e96d0553,"North-Eastern Hill University, Shillong","North-Eastern Hill University Umshing-Mawkynroh, Shillong 793022 Meghalaya",Phone: 0364-2723620Fax: Website: https://nehu.ac.in/,sufal.das@gmail.com,public,urban,"""## North-Eastern Hill University, Shillong

### Overview

North-Eastern Hill University (NEHU) is a Central University established on 19 July 1973 by an Act of the Indian Parliament. The university is in the suburb of Shillong, the state capital of Meghalaya, India. The university has two campuses, in Shillong and Tura. Both campuses are in Meghalaya state. The first pro-vice chancellor was Early Rising Singha It is the University Grants Commission's University with Potential for Excellence (conferred in 2006). It was established as a regional university for the states of northeast India, including Meghalaya, Nagaland, Arunachal Pradesh and Mizoram, and had given birth to Nagaland University in 1994 and Mizoram University in 2001. NEHU has two academic campuses, one at Mawkynroh-Umshing, Shillong, and another at Chasingre, Tura. Shillong is the headquarters of academic and administrative functions. The main campus is 1225 acres in area. It accommodates National Council of Science Museums (NCSM), Indira Gandhi National Open University (IGNOU), Indian Council of Social Science Research (ICSSR), Sports Authority of India (SAI) and The English and Foreign Languages University (EFLU). List of Vice-Chancellors The head of the administration is the vice-chancellor (VC), who is appointed by the visitor of the university, the President of India, for a five-year tenure. The Governor of Meghalaya is the chief rector. Under the VC are two pro-vice-chancellors, one for each of the two campuses, Tura and Shillong, and a Registrar. As of December 2021,[update] the VC is Prabha Shankar Shukla. Initially, the academic departments and the administration of NEHU at Shillong functioned from three prime sites in the Shillong city; one from the former Maharaja of Mayurbhanj, the other from the Rani of Bijni and the third one from the Government of Meghalaya, popularly known as Horse-Shoe Building.

### Additional Information

The university now runs its central administration from its main campus in Mawkynroh-Umshing. The university has the following schools, departments and centres of studies: The jurisdiction of the university extended originally to the states of Meghalaya and Nagaland and the erstwhile Union Territories of Arunachal Pradesh and Mizoram. With the establishment of the Nagaland University on 6 September 1994, the jurisdiction of NEHU ceased over Nagaland. Likewise with the establishment of the Mizoram University the jurisdiction of NEHU over Mizoram also ceased from June 2001.""",1909,39,20,71,3642723620,5667430531,https://nehu.ac.in/,Meghalaya,132,0.8828700128809527
